Fib_Angle,Ply_Layers,E1/E2,Winkler,Pasternak,Rx,Ry,a/h,Skew_Angle,Poisson_R,Omega,Strat_cat
45.0,10,15.0,0.0,0.0,0.6,0.6,100.0,75.0,0.25,168.2095,EF0_Spherical
15.0,6,75.0,0.0,0.0,0.1,0.1,75.0,60.0,0.25,60.0281,EF0_Spherical
45.0,16,50.0,0.0,0.0,0.8,0.8,10.0,0.0,0.25,34.4145,EF0_Spherical
75.0,12,50.0,0.0,0.0,0.6,0.6,75.0,75.0,0.25,315.2884,EF0_Spherical
90.0,16,90.0,0.0,0.0,0.6,0.6,50.0,60.0,0.25,113.5572,EF0_Spherical
30.0,10,15.0,0.0,0.0,0.8,0.8,50.0,60.0,0.25,96.5287,EF0_Spherical
60.0,6,75.0,0.0,0.0,0.25,0.25,25.0,75.0,0.25,166.4641,EF0_Spherical
45.0,6,5.0,0.0,0.0,0.1,0.1,50.0,45.0,0.25,16.8494,EF0_Spherical
90.0,14,90.0,0.0,0.0,0.4,0.4,10.0,0.0,0.25,18.1993,EF0_Spherical
30.0,12,10.0,0.0,0.0,1.0,1.0,100.0,60.0,0.25,183.6743,EF0_Spherical
15.0,14,50.0,0.0,0.0,0.4,0.4,75.0,0.0,0.25,60.1433,EF0_Spherical
15.0,8,15.0,0.0,0.0,0.1,0.1,10.0,0.0,0.25,12.044,EF0_Spherical
90.0,10,40.0,0.0,0.0,0.1,0.1,75.0,5.0,0.25,21.1009,EF0_Spherical
90.0,8,75.0,0.0,0.0,0.1,0.1,10.0,60.0,0.25,22.9842,EF0_Spherical
75.0,4,50.0,0.0,0.0,0.1,0.1,75.0,75.0,0.25,292.5619,EF0_Spherical
30.0,10,5.0,0.0,0.0,1.0,1.0,75.0,60.0,0.25,122.3879,EF0_Spherical
60.0,16,15.0,0.0,0.0,0.1,0.1,100.0,60.0,0.25,52.056,EF0_Spherical
30.0,12,75.0,0.0,0.0,0.4,0.4,75.0,45.0,0.25,115.6256,EF0_Spherical
45.0,12,75.0,0.0,0.0,0.25,0.25,75.0,0.0,0.25,86.1196,EF0_Spherical
45.0,12,75.0,0.0,0.0,0.1,0.1,25.0,75.0,0.25,140.879,EF0_Spherical
15.0,4,25.0,0.0,0.0,0.1,0.1,10.0,15.0,0.25,13.5638,EF0_Spherical
90.0,12,40.0,0.0,0.0,0.6,0.6,25.0,15.0,0.25,26.9952,EF0_Spherical
30.0,4,40.0,0.0,0.0,0.25,0.25,5.0,0.0,0.25,12.2047,EF0_Spherical
90.0,4,75.0,0.0,0.0,0.6,0.6,5.0,0.0,0.25,11.1428,EF0_Spherical
75.0,8,50.0,0.0,0.0,0.1,0.1,50.0,60.0,0.25,86.8478,EF0_Spherical
60.0,12,10.0,0.0,0.0,0.8,0.8,10.0,0.0,0.25,18.8105,EF0_Spherical
60.0,12,40.0,0.0,0.0,0.8,0.8,25.0,0.0,0.25,52.8443,EF0_Spherical
30.0,8,5.0,0.0,0.0,1.0,1.0,10.0,30.0,0.25,18.6109,EF0_Spherical
15.0,2,40.0,0.0,0.0,0.1,0.1,50.0,0.0,0.2,19.5284,EF0_Spherical
75.0,16,10.0,0.0,0.0,0.8,0.8,50.0,45.0,0.25,59.2661,EF0_Spherical
90.0,14,10.0,0.0,0.0,0.4,0.4,5.0,30.0,0.25,11.0311,EF0_Spherical
75.0,16,75.0,0.0,0.0,1.0,1.0,50.0,0.0,0.25,93.7216,EF0_Spherical
15.0,4,40.0,0.0,0.0,0.4,0.4,100.0,75.0,0.25,196.99,EF0_Spherical
45.0,8,10.0,0.0,0.0,0.1,0.1,25.0,0.0,0.25,14.2169,EF0_Spherical
45.0,12,75.0,0.0,0.0,0.1,0.1,25.0,30.0,0.25,35.4819,EF0_Spherical
75.0,12,40.0,0.0,0.0,1.0,1.0,10.0,30.0,0.25,26.3134,EF0_Spherical
15.0,14,15.0,0.0,0.0,0.25,0.25,75.0,5.0,0.25,32.6934,EF0_Spherical
90.0,4,5.0,0.0,0.0,0.1,0.1,25.0,45.0,0.25,17.5632,EF0_Spherical
75.0,16,50.0,0.0,0.0,0.25,0.25,5.0,5.0,0.25,11.8612,EF0_Spherical
60.0,16,5.0,0.0,0.0,1.0,1.0,25.0,15.0,0.25,38.3447,EF0_Spherical
30.0,4,40.0,0.0,0.0,0.25,0.25,25.0,0.0,0.25,26.331,EF0_Spherical
15.0,10,90.0,0.0,0.0,0.4,0.4,100.0,5.0,0.25,85.678,EF0_Spherical
15.0,10,5.0,0.0,0.0,0.25,0.25,50.0,5.0,0.25,18.9179,EF0_Spherical
